,name,label,text
39,Ses01M_script02_2_M020,neu,"Let's see, uh, I took a shower and, um, you were watching the news and you said the ""the Grunions are running tonight,"" and I said ""okay great, let's go."""
40,Ses01M_script02_2_M021,neu,So I'm putting the animals out we're getting the car to the garage and--
41,Ses01M_script02_2_F019,neu,Do you remember the first year we came here? It's about four years ago right after we got married.
42,Ses01M_script02_2_F020,xxx,We thought I was pregnant we had this bottle of champagne but no glasses.  You asked me to dance so we took off our shoes.
43,Ses01M_script02_2_F021,xxx,"While we were dancing you said the softest most intimate things to me, right into my ears so I could feel them much as hear them."
44,Ses01M_script02_2_F022,sad,"And I remember thinking this is it. finally, finally I'm as happy as I'm supposed to be."
45,Ses01M_script02_2_M022,neu,"Wait a minute, I've got it."
46,Ses01M_script02_2_F023,xxx,"Dancing on the beach barefoot, drinking champagne from the bottle."
47,Ses01M_script02_2_M023,neu,"It was when we were driving passed that knickerbocker liquor locker and you would said, no you said ""let's get some champagne"" and I said ""no time to wasting"" or something like that.  That's what it is, right?"
48,Ses01M_script02_2_M024,xxx,"You want this to be like the other times, right?"
49,Ses01M_script02_2_F024,sad,I'd rather not remember some things.  I'd rather not hope for some things.
50,Ses01M_script02_2_M025,neu,"Oh right sure, of course."
51,Ses01M_script02_2_M026,xxx,Do you want to dance?
52,Ses01M_script02_2_F025,sad,No.
53,Ses01M_script02_2_M027,neu,You want me to go get some champagne?
54,Ses01M_script02_2_F026,sad,No.
55,Ses01M_script02_2_M028,neu,Do you want to take off our shoes?
56,Ses01M_script02_2_F027,xxx,No.
57,Ses01M_script02_2_M029,neu,What? Huh?
58,Ses01M_script02_2_M030,neu,You want to get married again?
59,Ses01M_script02_2_M031,fru,What?  What?  You want to divorce?
60,Ses01M_script02_2_F028,fru,No.
61,Ses01M_script02_2_M032,fru,A vacation?
62,Ses01M_script02_2_F029,fru,No.
63,Ses01M_script02_2_M033,ang,"A new carpet, a poodle, a suicide pact, ice cream, a back rub, what?  What?  What the hell do you want?"
64,Ses01M_script02_2_F030,ang,I want something to turn out the way that it's supposed to.
65,Ses01M_script02_2_M034,fru,"Well, welcome to the human race."
66,Ses01M_script02_2_M035,ang,You think nothing turns out how it's supposed to.  You think I had some grand idea going that four years down the line.  We would come to this beach and argue over fish?  No.
67,Ses01M_script02_2_M036,xxx,"You think there would be times when you'd look at me like I was used Kleenex and then I'd look at you and think ""Holy hell when is the next flight to Alaska."""
68,Ses01M_script02_2_M037,sad,"No, no I'm just like you, I thought it was going to be all rosy cheeks and the bills would pay themselves and fish will always come and--"
69,Ses01M_script02_2_M038,sad,No.  You know what you get?  You know what you get?  You get this.
70,Ses01M_script02_2_F031,ang,This what?  What is this?  This isn't even anything.
71,Ses01M_script02_2_M039,neu,"Yeah, it is."
72,Ses01M_script02_2_F032,ang,"Oh, sure this is standing on the beach, this is waiting, fighting."
73,Ses01M_script02_2_M040,neu,Right.
74,Ses01M_script02_2_F033,sad,This isn't anything like I thought anything would be.
75,Ses01M_script02_2_M041,sad,I know me neither.
76,Ses01M_script02_2_F034,sad,This is just this.  I mean it includes a lot and everything but it's--do you understand what I'm saying?
77,Ses01M_script02_2_M042,sad,I'm doing the best I can.
78,Ses01M_script02_2_F035,sad,"I know that Augie, I really do."
79,Ses01M_script02_2_F036,sad,"I just can't help wishing that I was somebody, somewhere else."
80,Ses01M_script02_2_M043,sad,Maybe if you were with somebody else too?
81,Ses01M_script02_2_F037,sad,I didn't say that.
82,Ses01M_script02_2_M044,sad,"No, I know but--I know I don't make you happy."
83,Ses01M_script02_2_F038,sur,Are you kidding me?  For heaven sake Augie anything I'm doing I'd rather be doing it with you.
84,Ses01M_script02_2_M045,sad,Yeah?
85,Ses01M_script02_2_F039,sur,"Yes, don't be ridiculous.  Don't you know that?"
86,Ses01M_script02_2_F040,sad,"You are the one who probably wishes he was with somebody else, someone who didn't take everything so seriously, someone who would enjoy yourself."
87,Ses01M_script02_2_M046,xxx,"Actually, you know what?  Now you mentioned that--no I don't."
88,Ses01M_script02_2_F041,xxx,So maybe we're in the wrong spot.  But we're with the right person.
89,Ses01M_script02_2_M047,xxx,"I don't know, just seemed like such a good spot to me."
90,Ses01M_script02_2_M048,xxx,We do have really good view of the moon from here though.
91,Ses01M_script02_2_F042,xxx,Oh I saw that.  Pretty isn't it. Big ol' white moon.
92,Ses01M_script02_2_M049,hap,Look what we got here.
93,Ses01M_script02_2_F043,xxx,"Augie, you brought refreshments."
94,Ses01M_script02_2_M050,neu,It's not champagne.
95,Ses01M_script02_2_F044,hap,I guess we don't need glasses.
96,Ses01M_script02_2_M051,neu,"Are you cold, huh?  Do you want to go home?"
97,Ses01M_script02_2_F045,hap,I'm beginning to think you might be right.  I think this might be the spot after all.
98,Ses01M_script02_2_F046,sad,"Augie, I'm sorry."
99,Ses01M_script02_2_M052,hap,Shh...
100,Ses01M_script02_2_M053,hap,"If we are really quiet, the fish might come."
101,Ses01M_script02_2_F047,neu,Or not.
102,Ses01M_script02_2_M054,neu,Or not.
103,Ses01F_script02_1_M000,xxx,"What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh."
104,Ses01F_script02_1_M001,xxx,"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?"
105,Ses01F_script02_1_F000,neu,Fine.
106,Ses01F_script02_1_M002,exc,"Okay.  Is that, is that--"
107,Ses01F_script02_1_M003,xxx,No.  That's just foam.  I don't know.  I can't tell.
108,Ses01F_script02_1_F001,fru,[BREATHING]
109,Ses01F_script02_1_M004,xxx,"I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?"
110,Ses01F_script02_1_M005,xxx,Oh no.  you know what I forgot?
111,Ses01F_script02_1_F002,xxx,What?
112,Ses01F_script02_1_M006,xxx,"My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight."
113,Ses01F_script02_1_F003,sur,What flashlight?
114,Ses01F_script02_1_M007,neu,"The flashlight, the silver one.  There's only one, isn't there?"
115,Ses01F_script02_1_F004,neu,That's not your flashlight.
116,Ses01F_script02_1_M008,neu,Whose is it?
117,Ses01F_script02_1_F005,xxx,It's ours; it's my flashlight too.
118,Ses01F_script02_1_M009,neu,"Oh...well. Yeah, of course."
119,Ses01F_script02_1_F006,ang,You keep saying my flashlight like it's just yours.
120,Ses01F_script02_1_M010,neu,No.
121,Ses01F_script02_1_F007,ang,How's that supposed to make me feel?
122,Ses01F_script02_1_M011,neu,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight."
123,Ses01F_script02_1_M012,fru,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though."
124,Ses01F_script02_1_M013,neu,Do they always run during a full moon?  I don't remember.  Was it full last year?
125,Ses01F_script02_1_F008,neu,Yeah.
126,Ses01F_script02_1_M014,neu,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket."
127,Ses01F_script02_1_M015,neu,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?"
128,Ses01F_script02_1_M016,exc,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up."
129,Ses01F_script02_1_F009,hap,[LAUGHTER]
130,Ses01F_script02_1_M017,xxx,I wonder if they can hear me talk or like feel the vibrations in the sand when we move around.
131,Ses01F_script02_1_F010,sad,I'm cold.
132,Ses01F_script02_1_M018,fru,Do you want my jacket?
133,Ses01F_script02_1_F011,xxx,"It's after eleven, let's go."
134,Ses01F_script02_1_M019,xxx,What?  We just got here.  What's the point of coming all the way down here if we just turn around and go home?
135,Ses01F_script02_1_F012,xxx,There is no point.
136,Ses01F_script02_1_M020,neu,Right.
137,Ses01F_script02_1_F013,xxx,That's my point.
138,Ses01F_script02_1_M021,neu,"Wait, that's my point, too."
139,Ses01F_script02_1_F014,fru,"Well, then let's go."
140,Ses01F_script02_1_M022,fru,"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?"
141,Ses01F_script02_1_F015,neu,Not particularly.
142,Ses01F_script02_1_M023,neu,Why not?
143,Ses01F_script02_1_F016,xxx,I just don't.  It's stupid.
144,Ses01F_script02_1_M024,neu,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up."
145,Ses01F_script02_1_F017,fru,"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die."
146,Ses01F_script02_1_M025,neu,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.
147,Ses01F_script02_1_M026,neu,This is a big night for these little guys.  It's like life's last orgy.
148,Ses01F_script02_1_F018,xxx,I don't see why you're so excited; this isn't a freaking moon landing we are talking about.  It's fish.  It's a fish nobody even eats.
149,Ses01F_script02_1_M027,fru,Yeah they do.
150,Ses01F_script02_1_F019,fru,Oh Augie
151,Ses01F_script02_1_M028,xxx,"okay... well, Whatever.  But it's a fish who do something no other fish do.  It's like those swallows returning to Capistrano or like those lemmings that throw themselves off the cliffs."
152,Ses01F_script02_1_M029,neu,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested."
153,Ses01F_script02_1_F020,xxx,I'm just not.
154,Ses01F_script02_1_M030,sur,For real?
155,Ses01F_script02_1_F021,fru,Yeah.
156,Ses01F_script02_1_M031,neu,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?"
157,Ses01F_script02_1_M032,neu,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car."
158,Ses01F_script02_1_F022,xxx,"Last time, you'll also remember, we got our shoes wet, I got sand in my panties, you got a sore throat and we got into a big fight and we did not see the grunions."
159,Ses01F_script02_1_M033,neu,Ahh...we weren't in a good spot.
160,Ses01F_script02_1_F023,fru,Hmm.  We didn't see them the year before either.
161,Ses01F_script02_1_M034,neu,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things."
162,Ses01F_script02_1_M035,exc,"Look there, see?  What's that?  No, that's - that's just seaweed."
163,Ses01F_script02_1_M036,hap,"God, this is great.  Think about this.  I know you are not interested, but just think about this."
164,Ses01F_script02_1_M037,xxx,"Right now out there, there is this mass of silver fish and it's heading this way.  No one sent them an invitation, no one told them, no one even gave them a map."
165,Ses01F_script02_1_M038,exc,"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming."
166,Ses01F_script02_1_M039,xxx,They are swimming right now.  They are swimming as if that is the only thing that matters to them.
167,Ses01F_script02_1_M040,exc,It's single mindedness with no mind.  It is urgency that is just pure urge.
168,Ses01F_script02_1_M041,xxx,And they are swimming right now to this very point where we stand for this huge celebration of sex and death.
169,Ses01F_script02_1_M042,xxx,"Oh look.  I'm giving myself goose bumps, my hairs are standing up on my arm."
170,Ses01F_script02_1_F024,neu,That's the wind.
171,Ses01F_script02_1_M043,hap,So what do you think?
172,Ses01F_script02_1_F025,neu,About what?
173,Ses01F_script02_1_M044,hap,"About all of that, about all I was talking about."
174,Ses01M_impro06_F000,neu,You okay?
175,Ses01M_impro06_M000,sad,"Yeah, I'm just-- yeah"
176,Ses01M_impro06_M001,sad,"Just kind of feel numb, you know."
177,Ses01M_impro06_F001,neu,What's happened?
178,Ses01M_impro06_M002,sad,You didn't even hear?
179,Ses01M_impro06_M003,sad,[BREATHING] Umm.
180,Ses01M_impro06_M004,sad,God I've told this story so many times. Umm.
181,Ses01M_impro06_F002,neu,You don't have to if you don't want to.
182,Ses01M_impro06_M005,sad,I just...I just basically lost someone that was really close to me.
183,Ses01M_impro06_M006,sad,"And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because..."
184,Ses01M_impro06_F003,sad,I'm sorry to hear that.
185,Ses01M_impro06_M007,sad,"He kind of didn't have anyone to take care of that for him, so--"
186,Ses01M_impro06_F004,sad,You've been taking care of it all?
187,Ses01M_impro06_F005,sad,Oh Jesus.
188,Ses01M_impro06_M008,sad,It's just really...really messed up.
189,Ses01M_impro06_F006,sad,He sick for awhile?
190,Ses01M_impro06_M009,sad,No.
191,Ses01M_impro06_M010,sad,Just like it.
192,Ses01M_impro06_F007,neu,Was it an accident?
193,Ses01M_impro06_M011,sad,"No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --"
194,Ses01M_impro06_F008,neu,how was sick?
195,Ses01M_impro06_M012,sad,What?
196,Ses01M_impro06_F009,neu,"Well, I'm confused.  He was sick or it was an accident?"
197,Ses01M_impro06_M013,sad,"He was sick. He got sick. He got sick but it happened really, really fast, you know."
198,Ses01M_impro06_F010,neu,Oh. Really fast? Oh.
199,Ses01M_impro06_M014,sad,It was kind of like boom... done
200,Ses01M_impro06_F011,neu,Yeah.
201,Ses01M_impro06_M015,sad,It's just really weird because he was really young you know and it kind of like...
202,Ses01M_impro06_F012,neu,Yeah.
203,Ses01M_impro06_M016,sad,--it just kind of freaks you out.
204,Ses01M_impro06_F013,neu,"Totally, yeah."
205,Ses01M_impro06_M017,sad,So weird you know that like one days it's like you know sounds so stupid but like one day someone's here. And like next day you know they're not here and it just kind of makes you like think about like life and mortality and like that kind of stuff.  You just like used to take for granted--you know.
206,Ses01M_impro06_F014,neu,Mmhmm.
207,Ses01M_impro06_F015,neu,Lock
208,Ses01M_impro06_F016,neu,Mmhmm.
209,Ses01M_impro06_F017,neu,The plans you make [GARBAGE].
210,Ses01M_impro06_M018,sad,"Exactly, you know, and like he had so many plans and he was going to do..."
211,Ses01M_impro06_F018,neu,It leaves a hole for you too.
212,Ses01M_impro06_M019,sad,"so many things, you know?"
213,Ses01M_impro06_F019,neu,"It leaves a hole for you too, in your plans together."
214,Ses01M_impro06_M020,sad,What?
215,Ses01M_impro06_M021,sad,Yeah.
216,Ses01M_impro06_F020,neu,It gets better.
217,Ses01M_impro06_M022,sad,"He was a really, really good guy."
218,Ses01M_impro06_F021,neu,Mmhmm.
219,Ses01M_impro06_M023,sad,A lot of people loved him.
220,Ses01M_impro06_F022,neu,MMhmm.
221,Ses01M_impro06_M024,sad,"You know, it's like affecting a lot of people it's not just me, you know?"
222,Ses01M_impro06_F023,neu,Mmhmm.
223,Ses01M_impro06_F024,neu,How long did you know each other?
224,Ses01M_impro06_M025,sad,Umm...
225,Ses01M_impro06_M026,sad,For like eight years.
226,Ses01M_impro06_F025,neu,That's a long time.
227,Ses01M_impro06_M027,sad,Yeah.
228,Ses01M_impro06_F026,neu,It's good that you were there.
229,Ses01M_impro06_M028,sad,"Yeah, I'm glad I was there. Glad I- glad I got to be there."
230,Ses01M_impro06_M029,sad,"So weird,"
231,Ses01M_impro06_F027,neu,Yeah.
232,Ses01M_impro06_M030,sad,"like I can't...it's like you know it's like ""pinch me"" it's like I can't believe like I'm dealing with this, you know."
233,Ses01M_impro06_F028,neu,Are there things you wish you'd done differently?
234,Ses01M_impro03_M000,exc,The craziest thing just happened to me.
235,Ses01M_impro03_F000,xxx,What?
236,Ses01M_impro03_M001,exc,This girl; she just offered me fifty thousand dollars to marry her.
237,Ses01M_impro03_F001,sur,[BREATHING]
238,Ses01M_impro03_M002,xxx,Yeah.
239,Ses01M_impro03_F002,exc,Why?
240,Ses01M_impro03_M003,neu,"Well, she's not a citizen so she wants to get a visa."
241,Ses01M_impro03_F003,exc,Is she on the run?
242,Ses01M_impro03_M004,exc,"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years."
243,Ses01M_impro03_F004,exc,"Oh, she just needs to marry you."
244,Ses01M_impro03_F005,exc,That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.
245,Ses01M_impro03_M005,exc,That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?
246,Ses01M_impro03_M006,neu,"She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask."
247,Ses01M_impro03_F006,exc,That's so cool. Uh huh.
248,Ses01M_impro03_F007,exc,[LAUGHTER] Why did she pick you? Where were you?
249,Ses01M_impro03_M007,exc,"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like..."
250,Ses01M_impro03_F008,exc,You were at a party? And she's like hey. You seem unattached she's like.
251,Ses01M_impro03_M008,exc,"Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but..."
252,Ses01M_impro03_F009,exc,That's unbelievable... Yeah.
253,Ses01M_impro03_F010,exc,Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...
254,Ses01M_impro03_M009,xxx,Have you?
255,Ses01M_impro03_M010,exc,It's like I'm really going to get married. We'll have like the whole thing.
256,Ses01M_impro03_M011,exc,"Oh, good. [LAUGHTER]"
257,Ses01M_impro03_F011,exc,"Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money"
258,Ses01M_impro03_M012,exc,I know. What do you think I should-
259,Ses01M_impro03_F012,exc,"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something."
260,Ses01M_impro03_M013,exc,Oh good idea.
261,Ses01M_impro03_M014,neu,Yeah.  Make her like open the bank account and stuff too.
262,Ses01M_impro03_F013,exc,Yeah.
263,Ses01M_impro03_M015,exc,It's a good idea.
264,Ses01M_impro03_F014,exc,"Dude, you lucked out."
265,Ses01M_impro03_M016,exc,I know.  Also I get to like plan the wedding now too. That will be fun.
266,Ses01M_impro03_F015,exc,"Yeah.  My colors are blush and beige what is it, do you know?"
267,Ses01M_impro03_M017,exc,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?"
268,Ses01M_impro03_F016,exc,Oh I don't know. [LAUGHTER]
269,Ses01M_impro03_F017,neu,I don't know get it in cash.
270,Ses01M_impro03_M018,neu,Just cash hardcore.
271,Ses01M_impro03_F018,neu,Yeah.
272,Ses01M_impro03_M019,exc,What should we do?  Where should we get married? We should have party.
273,Ses01M_impro03_F019,exc,How exciting. You should have a wedding on the beach.
274,Ses01M_impro03_M020,exc,"Yeah, like a big like- A wedding on the beach, that would be nice."
275,Ses01M_impro03_F020,exc,"Yeah, at night."
276,Ses01M_impro03_M021,neu,And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.
277,Ses01M_impro03_F021,neu,"Oh yeah, absolutely, absolutely."
278,Ses01M_impro03_F022,exc,How exciting.  You should make her bring all your friends too.
279,Ses01M_impro03_M022,exc,I'll make her pay for that.  I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.
280,Ses01M_impro03_F023,exc,[GARBAGE] She's got to be loaded.  fifty thousand dollars.  That's incredible.
281,Ses01M_impro03_F024,exc,Incredible.
282,Ses01M_impro03_M023,exc,I'm going to marry a blue blood. [LAUGHTER]
283,Ses01M_impro03_F025,exc,"you're a lucky, lucky, lucky man."
284,Ses01M_impro03_M024,exc,Will you help me plan?
285,Ses01M_impro03_F026,exc,"Oh, totally. Yeah."
286,Ses01M_impro03_M025,xxx,Good.
287,Ses01F_script03_1_M000,fea,Good God.
288,Ses01F_script03_1_F000,fea,Is it them?
289,Ses01F_script03_1_M001,fea,I wonder.
290,Ses01F_script03_1_F001,fea,Freda is the only one who knows we are here.  She wouldn't ring up.
291,Ses01F_script03_1_M002,fea,It must be them then.
292,Ses01F_script03_1_F002,fea,It had to happen sooner or later.  What are we going to do?
293,Ses01F_script03_1_M003,fea,[BREATHING]
294,Ses01F_script03_1_M004,xxx,"We are okay, aren't we darling?"
295,Ses01F_script03_1_F003,xxx,"Now and always, sweet."
296,Ses01F_script03_1_M005,exc,I don't care then.
297,Ses01F_script03_1_F004,xxx,It had to happen sooner or later.
298,Ses01F_script03_1_M006,xxx,"Hello?  Hello?  I'm sorry, what's that?"
299,Ses01F_script03_1_M007,hap,No.  Wrong number. [LAUGHTER]
300,Ses01F_script03_1_F005,hap,[LAUGHTER] That sent shivers up my spine.
301,Ses01F_script03_1_M008,hap,What shall we do if they suddenly walk in on us.[LAUGHTER]
302,Ses01F_script03_1_F006,exc,We'll behave exquisitely.
303,Ses01F_script03_1_M009,hap,With perfect poise.
304,Ses01F_script03_1_F007,exc,I think I shall do a curtsy.
305,Ses01F_script03_1_M010,hap,"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?"
306,Ses01F_script03_1_F008,xxx,Hmm.  The pity is that one can't stay happy.
307,Ses01F_script03_1_M011,xxx,"Darling, don't say that."
308,Ses01F_script03_1_F009,xxx,It's true.  I think the whole thing's a cruel joke.
309,Ses01F_script03_1_M012,xxx,What?  This beautiful and sacred thing - love?
310,Ses01F_script03_1_F010,hap,Yes.  Meaning just that.
311,Ses01F_script03_1_M013,hap,"Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?"
312,Ses01F_script03_1_F011,hap,Don't laugh at me.  I'm being serious.
313,Ses01F_script03_1_M014,xxx,"Oh darling, you mustn't be serious.  It's just what they want."
314,Ses01F_script03_1_F012,exc,Who's they?
315,Ses01F_script03_1_M015,xxx,"All of those futile moralists who make life unbearable.  You have to laugh at them, be flippant."
316,Ses01F_script03_1_M016,xxx,"You know, flippancy brings out the acid in their darned, light and sweetness."
317,Ses01F_script03_1_F013,xxx,"you know if I laugh at everything then I must laugh at us, too."
318,Ses01F_script03_1_M017,xxx,Oh of course.  We are figures of fun.  All right.
319,Ses01F_script03_1_F014,xxx,"How long with it last, this ludicrous overbearing love of ours?"
320,Ses01F_script03_1_M018,hap,Who knows?
321,Ses01F_script03_1_F015,xxx,Shall we always want to bicker and fight?
322,Ses01F_script03_1_M019,xxx,Oh no.  That fire will fade along with our passion.
323,Ses01F_script03_1_F016,xxx,"Oh dear, should we like that?"
324,Ses01F_script03_1_M020,xxx,Well it depends on how well we've played.
325,Ses01F_script03_1_F017,xxx,What happens if one of us dies?  Does the other one still laugh?
326,Ses01F_script03_1_M021,exc,Yes.  Yes with all of his might.
327,Ses01F_script03_1_F018,xxx,"Well that's serious enough, isn't it?"
328,Ses01F_script03_1_M022,xxx,"No, no, no, no. no.  Death is a very laughable thing.  It's a cunning little mystery, it's all done with mirrors."
329,Ses01F_script03_1_F019,xxx,I think you are talking nonsense.
330,Ses01F_script03_1_M023,xxx,"Oh.  So is everyone, in the long run."
331,Ses01F_script03_1_M024,exc,"Let's be superficial, and just pity those poor philosophers, huh?  Let's blow trumpets and squeakers and enjoy the party for as long as we can, you know, like small, idiotic school children."
332,Ses01F_script03_1_F020,hap,[LAUGHTER]
333,Ses01F_script03_1_M025,hap,Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.
334,Ses01F_script03_1_F021,hap,"Oh Elliott, worms don't pop."
335,Ses01F_script03_1_M026,hap,"Oh See, I don't care what you do, see.  You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world.  I shan't say a word, just as long as you love me best."
336,Ses01F_script03_1_F022,hap,"Aw.  Thank you, darling.  The same applies to you too, except that if you so much as look at another woman I'll kill you."
337,Ses01F_script03_1_M027,xxx,Do you remember that awful scene we had in Venice?
338,Ses01F_script03_1_F023,xxx,Which particular one?
339,Ses01F_script03_1_M028,xxx,The one where you put that tiny painted wooden snake in my bed.
340,Ses01F_script03_1_F024,exc,"Oh Charles, that was his name.  He did wiggle so beautifully."
341,Ses01F_script03_1_M029,xxx,[GARBAGE]
342,Ses01F_script03_1_M030,dis,It was a terrible thing.  I hated it.
343,Ses01F_script03_1_F025,xxx,I know you did.  You threw him out the window into the Grand Canal.  I'll never forgive you for that.
344,Ses01F_script03_1_M031,xxx,How long did that row last?
345,Ses01F_script03_1_F026,xxx,It went on intermittently for days.
346,Ses01F_script03_1_M032,xxx,Uh huh.
347,Ses01F_script03_1_M033,xxx,But the worst one was in Cannes when your curling irons burnt a hole in my new dressing gown.
348,Ses01F_script03_1_F027,xxx,"Oh And it burnt my comb, too, and all of those towels in the bathroom."
349,Ses01F_script03_1_M034,hap,"That was a rouser, wasn't it?"
350,Ses01F_script03_1_F028,xxx,[LAUGHTER] That was the first time you hit me.
351,Ses01F_script03_1_M035,xxx,I did not hit you very hard.
352,Ses01F_script03_1_F029,hap,"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER]  How utterly, utterly ridiculous."
353,Ses01F_script03_1_M036,hap,[LAUGHTER] I'll never forget his face. [LAUGHTER]
